cleaned_product_name,adg_code,brand,industry
Հեռուստացույց Samsung TV UE50TU7002UXCE,-1,Samsung,Electronics
C NESCAFE GOLD Arabica Doy Pack12x40g- լուծվող սուրճ 12448687,-1,Nescafe,Food & Beverage
Երշիկ Սինյուգա/Սերվելատ Աթենք,-1,Athenk,Food & Beverage
սուրճ Արարատ,-1,Unknown,Food & Beverage
Սառնարան SAMSUNG RT62K7110SL/WT,-1,Samsung,Electronics
Շոկոլադե Ձվիկ Kinder JOY Girl,-1,Unknown,Food & Beverage
Քարթրիջ Samsung SCX4200 3K NetProduct,-1,Samsung,Electronics
Անձեռոցիկ փափուկ 300հ 2շ Սիլկ Սոֆտ,-1,Unknown,Household Products
ժբ կոկա-կոլա,-1,Coca-Cola,Food & Beverage
Փամփերս N1 բեյբի 2-5կգ N27 Պրոկտեր Հեմբլ,-1,Unknown,Other
Գազավորված ըմպելիք Կոկա Կոլա Զերո 0 5լ,-1,Coca-Cola,Food & Beverage
C NESCAFE CLASSIC Arabica Doy Pack 8x320g- լուծվող սուրճ 12477176,-1,Nescafe,Food & Beverage
Սիգարետ Արարատ 84/7 9,-1,Unknown,Other
անձեռոցիկ քաշովի Սիլկ Սոֆթ 100h 3շ 2521,-1,Silk Soft,Household Products
Տակդիր Pampers N1 43 1,-1,Pampers,Household Products
Ararat Charcoal s sl,-1,Unknown,Other
Պամպերս 5 օրգ 56հ,-1,Pampers,Household Products
Ծխախոտ Արարատ Sllims,-1,Unknown,Other
Տակդիր Pampers N7 44հատ 15 կգ,-1,Pampers,Household Products
գրանդ քենդի կակաո փոշի,-1,Grand Candy,Food & Beverage
Նրբերշիկ ծխեցրած Գանձասար 12հատ,-1,Ganjasar,Food & Beverage
Արտ Արմենիա գինի 0 7լ,-1,Art Armenia,Food & Beverage
LED Հեռուստացույց SAMSUNG UE65CU8000UXRU,-1,Samsung,Electronics
Գուլպա մանկական Ալեքս կապույտ ժապավենով 31-34 Ջ1539,-1,Alex,Household Products
Քոլգեյթ ատամի խոզանակ կլասիկ,-1,Colgate,Personal Care & Cosmetics
Թխվածքաբլիթ Միլկա Շոկո Ջաֆֆա նարնջի 147գր,-1,Milka,Food & Beverage
Զուգ թուղթ Սիլկ սոֆթ 65մ էժան,-1,Silk Soft,Other
Սուրճ լուծվող Նեսկաֆե կլասսիկ կրեմա 190գ,-1,Nescafe,Food & Beverage
Գարնիեր ՍքինՆաթ դիմակ/դեմքի Մաքուր մաշկ ածխով 50մլ,-1,Garnier,Personal Care & Cosmetics
Ժիլետ Պրոգլայդ Ստայլեր սափրվելու հավաքածու,-1,Gillette,Personal Care & Cosmetics
Լվացքի հեղուկ Սավեքս Parfume Color 1 1 լ,-1,Savax,Household Products
Թխվածքաբլիթ 132գ MILKA Loop,-1,Milka,Food & Beverage
Գինի Արմենիա կարմիր չոր 1 5լ,-1,Unknown,Food & Beverage
Բջջային հեռախոս SAMSUNG S23FE S711 128GB Gray,-1,Samsung,Electronics
կոկա կոլա 0 25 լ,-1,Coca-Cola,Food & Beverage
Փոշի Samsung CLP-300 Yellow 45գր Content,-1,Samsung,Household Products
Տակդիրներ մանկական Փամփերս Մինի 4-8կգ 96 50171,-1,Unknown,Household Products
Տակդիրներ մանկական Փամփերս Մաքսի 9-14կգ 13,-1,Unknown,Household Products
81383 Nivea Բալզամ սափրվելուց հետո FRESH KICK 100մլ,-1,Nivea,Personal Care & Cosmetics
Սափրիչ Gillette Venus Breeze 1հատ,-1,Gillette,Personal Care & Cosmetics
Գազավորված ըմպելիք կոկա Կոլա 0 5լ,-1,Coca-Cola,Food & Beverage
Սուրճ Ռոյալ Արմենիա աղացած կլասիկ 100գ,-1,Royal,Food & Beverage
Յաշկինո Թխվածքաբլիթ Քունջութով 200գր,-1,Yashkino,Food & Beverage
Անձեռոցիկ տուփ Սիլկ Սոֆտ 70հ,-1,Unknown,Household Products
Զուգագուլպա Alex Classica 40 Natural 3/M,-1,Alex,Household Products
Մածուկ Կոլգեյթ Max Fresh Cln Mint 10 0մլ,-1,Colgate,Personal Care & Cosmetics
Գազավորված ըմպելիք Կոկա Կոլա վանիլ թ/տ 0 33մլ,-1,Coca-Cola,Food & Beverage
